ID-Pregunta,Question,Category,Subcategory,Scorekey,Cuestionario
MIPQ0001,"En la escuela era bueno en matemÃ¡ticas, fÃ­sica o quÃ­mica.",Inteligencias Multiples,Lógico-matematico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0002,A menudo pienso en mis propios sentimientos y emociones y busco razones para ellos.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0003,Escribir es una forma natural para mÃ­ de expresarme.,Inteligencias Multiples,Lingüístico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0004,"En la escuela, la geometrÃ­a y varios tipos de tareas relacionadas con la percepciÃ³n espacial eran mÃ¡s fÃ¡ciles para mÃ­ que resolver ecuaciones.",Inteligencias Multiples,Spatial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0005,DespuÃ©s de escuchar una melodÃ­a una o dos veces puedo cantarla o silbarla con bastante precisiÃ³n.,Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0006,"Cuando escucho mÃºsica, soy capaz de discernir instrumentos o reconocer melodÃ­as.",Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0007,Soy capaz de analizar mis propios motivos y formas de acciÃ³n.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0008,Dedico tiempo a reflexionar regularmente sobre los temas importantes de la vida.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0009,"Incluso en compaÃ±Ã­a extraÃ±a, encuentro fÃ¡cilmente a alguien con quien hablar.",Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0010,Me llevo bien con diferentes tipos de personas.,Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0011,Soy Ãºtil,Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0012,Puedo trabajar y resolver problemas complejos.,Inteligencias Multiples,Lógico-matematico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0013,Hago contacto fÃ¡cilmente con otras personas.,Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0014,"Puedo hacer fÃ¡cilmente algo concreto con mis manos (por ejemplo, tejido y carpinterÃ­a)",Inteligencias Multiples,Corporal-cinestésico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0015,"Se me dan bien los juegos y la resoluciÃ³n de problemas, que requieren un pensamiento lÃ³gico.",Inteligencias Multiples,Logical-mathematical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0016,"Recientemente he escrito algo de lo que estoy especialmente orgulloso, o por lo que he recibido reconocimiento.",Inteligencias Multiples,Lingüístico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0017,Me gusta leer literatura psicolÃ³gica o filosÃ³fica para aumentar mi autoconocimiento.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0018,Soy bueno para mostrar cÃ³mo hacer algo en la prÃ¡ctica.,Inteligencias Multiples,Corporal-cinestésico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0019,Me resulta fÃ¡cil conceptualizar patrones complejos y multidimensionales.,Inteligencias Multiples,Espacial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0020,"Puedo imaginar fÃ¡cilmente cÃ³mo se ve una superficie (parque, terreno, etc.) visto desde arriba",Inteligencias Multiples,Espacial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0021,La aritmÃ©tica mental es fÃ¡cil para mÃ­.,Inteligencias Multiples,Lógico-matematico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0022,Puedo mantener fÃ¡cilmente el ritmo cuando toco una melodÃ­a.,Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0023,Las metÃ¡foras y las expresiones verbales vÃ­vidas me ayudan a aprender de manera eficiente.,Inteligencias Multiples,Lingüístico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0024,"En negociaciones y trabajo en grupo, soy capaz de apoyar al grupo para encontrar un consenso.",Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0025,Noto inmediatamente si una melodÃ­a estÃ¡ desafinada.,Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0026,"Cuando leo, formo imÃ¡genes o diseÃ±os ilustrativos en mi mente.",Inteligencias Multiples,Espacial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0027,Yo era bueno en las manualidades en la escuela.,Inteligencias Multiples,Corporal-cinestésico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0028,"En la escuela, los estudios en el idioma nativo fueron fÃ¡ciles para mÃ­.",Inteligencias Multiples,Lingüístico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
