ID_pregunta,Question,Category,Subcategory,is_value,Scorekey,Cuestionarion
IPIP0014,Empatizo con los sentimientos de los demás.,Personalidad,Amabilidad,0,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0071,No estoy realmente interesado en los demás.,Personalidad,Amabilidad,0,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0076,No me interesan los problemas de otras personas.,Personalidad,Amabilidad,0,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0086,Percibo las emociones de los demás.,Personalidad,Amabilidad,0,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0014,Empatizo con los sentimientos de los demás.,Interación social,Compasión,1,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0050,Me gusta hacer cosas por los demás.,Interación social,Compasión,1,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0052,Me intereso por el bienestar de los demás.,Interación social,Compasión,1,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0053,Me intereso por la vida de otras personas.,Interación social,Compasión,1,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0069,No dedico tiempo a los demás.,Interación social,Compasión,1,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0074,No me importan las necesidades de los demás.,Interación social,Compasión,1,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0076,No me interesan los problemas de otras personas.,Interación social,Compasión,1,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0082,No tengo un lado suave.,Interación social,Compasión,1,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0087,Percibo las emociones de los demás.,Interación social,Compasión,1,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0114,Soy indiferente a los sentimientos de los demás.,Interación social,Compasión,1,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0003,A menudo olvido poner las cosas en su lugar.,Personalidad,Escrupulosidad,0,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0030,Hago las tareas de inmediato.,Personalidad,Escrupulosidad,0,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0032,Hago un desastre de las cosas.,Personalidad,Escrupulosidad,0,"5,4,3,2,5",Cuestionario básico para tutores
IPIP0048,Me gusta el orden.,Personalidad,Escrupulosidad,0,"1,2,3,4,5",Cuestionario básico para tutores
IPIP0024,Experimento mis emociones intensamente.,Interación social,Empatía,1,"5,4,3,2,5",Cuestionario básico para tutores
