ID_pregunta,Question,Category,Subcategory,Scorekey,Cuestionarion,
MINI-IPIP01,A menudo olvido poner las cosas en su lugar.,Personalidad,Escrupulosidad,"5,4,3,2,1",Personalidad,
MINI-IPIP02,Empatizo con los sentimientos de los demas.,Personalidad,Amabilidad,"1,2,3,4,5",Personalidad,
MINI-IPIP03,Estoy relajado la mayor parte del tiempo.,Personalidad,Neuroticismo,"5,4,3,2,1",Personalidad,
MINI-IPIP04,Hablo con muchas personas diferentes en las fiestas.,Personalidad,Extraversión,"1,2,3,4,5",Personalidad,
MINI-IPIP05,Hago las tareas de inmediato.,Personalidad,Escrupulosidad,"1,2,3,4,5",Personalidad,
MINI-IPIP06,Hago un desastre de las cosas.,Personalidad,Escrupulosidad,"5,4,3,2,1",Personalidad,
MINI-IPIP07,Me altero con facilidad.,Personalidad,Neuroticismo,"1,2,3,4,5",Personalidad,
MINI-IPIP08,Me gusta el orden.,Personalidad,Escrupulosidad,"1,2,3,4,5",Personalidad,
MINI-IPIP09,No estoy realmente interesado en los demas.,Personalidad,Amabilidad,"5,4,3,2,1",Personalidad,
MINI-IPIP10,No hablo mucho.,Personalidad,Extraversión,"5,4,3,2,1",Personalidad,
MINI-IPIP11,No me interesan las ideas abstractas.,Personalidad,"Intelecto,Imaginación","5,4,3,2,1",Personalidad,
MINI-IPIP12,No me interesan los problemas de otras personas.,Personalidad,Amabilidad,"5,4,3,2,1",Personalidad,
MINI-IPIP13,No tengo mucha imaginacion.,Personalidad,"Intelecto,Imaginación","5,4,3,2,1",Personalidad,
MINI-IPIP14,Percibo las emociones de los demas.,Personalidad,Amabilidad,"1,2,3,4,5",Personalidad,
MINI-IPIP15,Prefiero permanecer en el fondo.,Personalidad,Extraversión,"5,4,3,2,1",Personalidad,
MINI-IPIP16,Rara vez me siento deprimido.,Personalidad,Neuroticismo,"5,4,3,2,1",Personalidad,
MINI-IPIP17,Soy el alma de la fiesta.,Personalidad,Extraversión,"1,2,3,4,5",Personalidad,
MINI-IPIP18,Tengo cambios de humor frecuentes.,Personalidad,Neuroticismo,"1,2,3,4,5",Personalidad,
MINI-IPIP19,Tengo dificultades para entender ideas abstractas.,Personalidad,"Intelecto,Imaginación","5,4,3,2,1",Personalidad,
MINI-IPIP20,Tengo una imaginacion viva.,Personalidad,"Intelecto,Imaginación","1,2,3,4,5",Personalidad,
MIPQ0001,"En la escuela era bueno en matemáticas, física o química.",Inteligencias Múltiples,Lógico-matemático,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0002,A menudo pienso en mis propios sentimientos y emociones y busco razones para ellos.,Inteligencias Múltiples,Intrapersonal,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0003,Escribir es una forma natural para mí de expresarme.,Inteligencias Múltiples,Lingüístico,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0004,"En la escuela, la geometría y varios tipos de tareas relacionadas con la percepción espacial eran más fáciles para mí que resolver ecuaciones.",Inteligencias Múltiples,Espacial,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0005,Después de escuchar una melodía una o dos veces puedo cantarla o silbarla con bastante precisión.,Inteligencias Múltiples,Musical,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0006,"Cuando escucho música, soy capaz de discernir instrumentos o reconocer melodías.",Inteligencias Múltiples,Musical,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0007,Soy capaz de analizar mis propios motivos y formas de acción.,Inteligencias Múltiples,Intrapersonal,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0008,Dedico tiempo a reflexionar regularmente sobre los temas importantes de la vida.,Inteligencias Múltiples,Intrapersonal,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0009,"Incluso en compañía extraña, encuentro fácilmente a alguien con quien hablar.",Inteligencias Múltiples,Interpersonal,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0010,Me llevo bien con diferentes tipos de personas.,Inteligencias Múltiples,Interpersonal,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0011,Soy útil.,Inteligencias Múltiples,Interpersonal,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0012,Puedo trabajar y resolver problemas complejos.,Inteligencias Múltiples,Lógico-matemático,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0013,Hago contacto fácilmente con otras personas.,Inteligencias Múltiples,Interpersonal,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0014,"Puedo hacer fácilmente algo concreto con mis manos (por ejemplo, tejido y carpintería).",Inteligencias Múltiples,Corporal-cinestésico,"1,2,3,4,5",Inteligencias Múltiples
MIPQ0015,"Se me dan bien los juegos y la resolución de problemas que requieren un pensamiento lógico.",Inteligencias Múltiples,Lógico-matemático,"1,2,3,4,5",Inteligencias Múltiples
